informacoes_basicas_data_requicisao,informacoes_basicas_empresa_divisao,informacoes_basicas_cliente,id_vaga
2021-05-04,Decision São Paulo,"Morris, Moran and Dodson",5185
2021-05-04,Decision São Paulo,"Morris, Moran and Dodson",5184
2021-05-04,Decision São Paulo,Nelson-Page,5182
2021-05-04,Decision São Paulo,Mann and Sons,5181
2021-05-04,Decision São Paulo,Mann and Sons,5180
2021-05-04,Decision São Paulo,Mann and Sons,5179
2021-05-04,Decision São Paulo,Mann and Sons,5178
2021-05-04,Decision São Paulo,Mann and Sons,5177
2021-05-04,Decision São Paulo,Mann and Sons,5176
2021-05-04,Decision São Paulo,Mann and Sons,5175
2021-05-04,Decision São Paulo,Mann and Sons,5174
2021-05-04,Decision São Paulo,Mann and Sons,5173
2021-05-04,Decision São Paulo,Barnes-Woods,5172
2021-05-04,Decision São Paulo,Barnes-Woods,5171
2021-05-04,Decision São Paulo,Barnes-Woods,5170
2021-05-04,Decision São Paulo,Barnes-Woods,5169
2021-05-04,Decision São Paulo,Barnes-Woods,5168
2021-05-04,Decision São Paulo,Barnes-Woods,5167
2021-05-04,Decision São Paulo,Nelson-Page,5166
2021-05-03,Decision São Paulo,Nelson-Page,5165
2021-05-03,Decision São Paulo,Nelson-Page,5164
2021-05-03,Decision São Paulo,Nelson-Page,5163
2021-05-03,Decision São Paulo,Nelson-Page,5162
2021-05-03,Decision São Paulo,Nelson-Page,5161
2021-05-03,Decision São Paulo,Nelson-Page,5160
2021-05-03,Decision São Paulo,Nelson-Page,5159
2021-05-03,Decision São Paulo,Nelson-Page,5158
2021-05-03,Decision São Paulo,Nelson-Page,5157
2021-05-03,Decision São Paulo,Nelson-Page,5156
2021-05-03,Decision São Paulo,Nelson-Page,5155
2021-05-03,Decision São Paulo,Nelson-Page,5154
2021-05-03,Decision São Paulo,Nelson-Page,5153
2021-05-03,Decision São Paulo,Nelson-Page,5152
2021-05-03,Decision São Paulo,Nelson-Page,5151
2021-05-03,Decision São Paulo,Nelson-Page,5150
2021-05-03,Decision São Paulo,Nelson-Page,5149
2021-05-03,Decision São Paulo,Nelson-Page,5148
2021-05-03,Decision São Paulo,Nelson-Page,5147
2021-05-03,Decision São Paulo,Nelson-Page,5146
2021-05-03,Decision São Paulo,Nelson-Page,5145
2021-05-03,Decision São Paulo,Nelson-Page,5144
2021-05-03,Decision São Paulo,Nelson-Page,5143
2021-05-03,Decision São Paulo,Nelson-Page,5142
2021-05-03,Decision São Paulo,Nelson-Page,5141
2021-05-03,Decision São Paulo,"Wade, Bernard and Bailey",5140
2021-05-03,Decision São Paulo,Barnes-Woods,5139
2021-05-03,Decision São Paulo,Nelson-Page,5138
2021-04-30,Decision São Paulo,Morrison Ltd,5137
2021-04-30,Decision São Paulo,Morrison Ltd,5136
2021-04-30,Decision São Paulo,Morrison Ltd,5135
2021-04-30,Decision São Paulo,"Wade, Bernard and Bailey",5134
2021-04-30,Decision São Paulo,"Wade, Bernard and Bailey",5133
2021-04-30,Decision São Paulo,Santos Ltd,5132
2021-04-30,Decision São Paulo,Nelson-Page,5131
2021-04-30,Decision São Paulo,Nelson-Page,5130
2021-04-30,Decision Campinas,Miller-Curry,5129
2021-04-30,Decision São Paulo,Morrison Ltd,5128
2021-04-30,Decision São Paulo,Morrison Ltd,5127
2021-04-30,Decision São Paulo,Nelson-Page,5126
2021-04-29,Decision São Paulo,Morrison Ltd,5125
2021-04-29,Decision São Paulo,Morrison Ltd,5124
2021-04-29,Decision São Paulo,Morrison Ltd,5123
2021-04-29,Decision São Paulo,Morrison Ltd,5122
2021-04-29,Decision São Paulo,Morrison Ltd,5121
2021-04-29,Decision São Paulo,Morrison Ltd,5120
2021-04-29,Decision São Paulo,Morrison Ltd,5119
2021-04-29,Decision São Paulo,Morrison Ltd,5118
2021-04-29,Decision São Paulo,Morrison Ltd,5117
2021-04-29,Decision São Paulo,Morrison Ltd,5116
2021-04-29,Decision São Paulo,Nelson-Page,5115
2021-04-29,Decision Campinas,Miller-Curry,5114
2021-04-29,Decision São Paulo,"Morris, Moran and Dodson",5113
2021-04-29,Decision São Paulo,"Morris, Moran and Dodson",5112
2021-04-29,Decision São Paulo,"Morris, Moran and Dodson",5111
2021-04-29,Decision São Paulo,"Morris, Moran and Dodson",5110
2021-04-29,Decision São Paulo,"Morris, Moran and Dodson",5109
2021-04-29,Decision São Paulo,"Morris, Moran and Dodson",5108
2021-04-29,Decision São Paulo,Nelson-Page,5107
2021-04-29,Decision São Paulo,Nelson-Page,5106
2021-04-29,Decision São Paulo,Nelson-Page,5105
2021-04-29,Decision São Paulo,Nelson-Page,5104
2021-04-29,Decision São Paulo,Nelson-Page,5103
2021-04-29,Decision São Paulo,Callahan-Hall,5102
2021-04-29,Decision São Paulo,Nelson-Page,5101
2021-04-29,Decision São Paulo,Nelson-Page,5100
2021-04-28,Decision São Paulo,Morrison Ltd,5099
2021-04-28,Decision São Paulo,Nelson-Page,5098
2021-04-28,Decision São Paulo,Morrison Ltd,5097
2021-04-28,Decision São Paulo,Morrison Ltd,5096
2021-04-28,Decision São Paulo,Morrison Ltd,5095
2021-04-28,Decision São Paulo,"Morris, Moran and Dodson",5094
2021-04-28,Decision São Paulo,Barnes-Woods,5093
2021-04-28,Decision São Paulo,Callahan-Hall,5092
2021-04-28,Decision São Paulo,Nelson-Page,5091
2021-04-28,Decision São Paulo,Nelson-Page,5090
2021-04-28,Decision São Paulo,Nelson-Page,5089
2021-04-28,Decision São Paulo,Mann and Sons,5088
2021-04-27,Decision São Paulo,Nelson-Page,5087
2021-04-27,Decision São Paulo,Nelson-Page,5086
2021-04-27,Decision São Paulo,Nelson-Page,5085
2021-04-27,Decision São Paulo,Callahan-Hall,5084
2021-04-27,Decision São Paulo,Johnson-Aguirre,5083
2021-04-27,Decision São Paulo,Mann and Sons,5082
2021-04-27,Decision São Paulo,Mann and Sons,5081
2021-04-27,Decision São Paulo,Nelson-Page,5080
2021-04-27,Decision São Paulo,Nelson-Page,5079
2021-04-27,Decision São Paulo,Nelson-Page,5078
2021-04-27,Decision São Paulo,Nelson-Page,5077
2021-04-27,Decision São Paulo,Nelson-Page,5076
2021-04-27,Decision São Paulo,Nelson-Page,5075
2021-04-27,Decision São Paulo,Nelson-Page,5074
2021-04-27,Decision São Paulo,King-Russell,5073
2021-04-27,Decision São Paulo,Nelson-Page,5072
2021-04-27,Decision São Paulo,"Wade, Bernard and Bailey",5071
2021-04-27,Decision São Paulo,Nelson-Page,5070
2021-04-27,Decision São Paulo,Nelson-Page,5069
2021-04-27,Decision São Paulo,Nelson-Page,5068
2021-04-27,Decision São Paulo,Nelson-Page,5067
2021-04-27,Decision São Paulo,Nelson-Page,5066
2021-04-26,Decision São Paulo,Morrison Ltd,5065
2021-04-26,Decision São Paulo,Nelson-Page,5064
2021-04-26,Decision São Paulo,Nelson-Page,5063
2021-04-26,Decision São Paulo,Nelson-Page,5062
2021-04-26,Decision São Paulo,Barnes-Woods,5061
2021-04-26,Decision São Paulo,"Morris, Moran and Dodson",5060
2021-04-26,Decision São Paulo,King-Russell,5059
2021-04-26,Decision São Paulo,Nelson-Page,5058
2021-04-26,Decision São Paulo,Nelson-Page,5057
2021-04-26,Decision São Paulo,Nelson-Page,5056
2021-04-26,Decision São Paulo,Nelson-Page,5055
2021-04-26,Decision São Paulo,Nelson-Page,5054
2021-04-26,Decision São Paulo,Nelson-Page,5053
2021-04-26,Decision São Paulo,Nelson-Page,5052
2021-04-26,Decision São Paulo,Jimenez PLC,5051
2021-04-26,Decision São Paulo,Nelson-Page,5050
2021-04-26,Decision São Paulo,Nelson-Page,5049
2021-04-23,Decision São Paulo,Barnes-Woods,5048
2021-04-23,Decision São Paulo,Barnes-Woods,5047
2021-04-23,Decision São Paulo,Barnes-Woods,5046
2021-04-23,Decision Campinas,Miller-Curry,5045
2021-04-23,Decision São Paulo,"Williams, Kelley and Goodman",5044
2021-04-23,Decision São Paulo,"Williams, Kelley and Goodman",5043
2021-04-23,Decision Campinas,Miller-Curry,5042
2021-04-23,Decision Campinas,Miller-Curry,5041
2021-04-23,Decision São Paulo,"Morris, Moran and Dodson",5040
2021-04-23,Decision São Paulo,"Morris, Moran and Dodson",5039
2021-04-23,Decision São Paulo,"Morris, Moran and Dodson",5038
2021-04-22,Decision São Paulo,Morrison Ltd,5035
2021-04-22,Decision São Paulo,"Morris, Moran and Dodson",5034
2021-04-22,Decision São Paulo,Nelson-Page,5033
2021-04-22,Decision São Paulo,"Morris, Moran and Dodson",5032
2021-04-22,Decision São Paulo,Nelson-Page,5031
2021-04-22,Decision São Paulo,"Wade, Bernard and Bailey",5030
2021-04-22,Decision São Paulo,Nelson-Page,5029
2021-04-22,Decision São Paulo,Nelson-Page,5028
2021-04-20,Decision São Paulo,Callahan-Hall,5027
2021-04-20,Decision São Paulo,"Morris, Moran and Dodson",5026
2021-04-20,Decision São Paulo,"Morris, Moran and Dodson",5025
2021-04-20,Decision São Paulo,"Wade, Bernard and Bailey",5024
2021-04-19,Decision São Paulo,Mann and Sons,5023
2021-04-19,Decision São Paulo,"Morris, Moran and Dodson",5022
2021-04-19,Decision São Paulo,Barnes-Woods,5021
2021-04-19,Decision São Paulo,Nelson-Page,5020
2021-04-19,Decision São Paulo,Nelson-Page,5019
2021-04-19,Decision São Paulo,Nelson-Page,5018
2021-04-19,Decision São Paulo,Nelson-Page,5017
2021-04-19,Decision São Paulo,Barnes-Woods,5016
2021-04-19,Decision São Paulo,Nelson-Page,5015
2021-04-19,Decision São Paulo,Nelson-Page,5014
2021-04-19,Decision São Paulo,Nelson-Page,5013
2021-04-19,Decision São Paulo,"Morris, Moran and Dodson",5012
2021-04-19,Decision São Paulo,Craig-Webb,5011
2021-04-19,Decision São Paulo,Craig-Webb,5010
2021-04-19,Decision São Paulo,Craig-Webb,5009
2021-04-19,Decision São Paulo,Craig-Webb,5008
2021-04-19,Decision São Paulo,Craig-Webb,5007
2021-04-19,Decision São Paulo,Craig-Webb,5006
2021-04-19,Decision São Paulo,Nelson-Page,5005
2021-04-19,Decision São Paulo,Nelson-Page,5004
2021-04-19,Decision São Paulo,Nelson-Page,5003
2021-04-19,Decision São Paulo,Nelson-Page,5002
2021-04-19,Decision São Paulo,Nelson-Page,5001
2021-04-19,Decision São Paulo,Nelson-Page,5000
2021-04-19,Decision São Paulo,Nelson-Page,4999
2021-04-19,Decision São Paulo,"Wade, Bernard and Bailey",4998
2021-04-19,Decision São Paulo,Nelson-Page,4997
2021-04-19,Decision São Paulo,Nelson-Page,4996
2021-04-19,Decision São Paulo,Nelson-Page,4995
2021-04-19,Decision São Paulo,Nelson-Page,4994
2021-04-19,Decision São Paulo,Nelson-Page,4992
2021-04-19,Decision São Paulo,Nelson-Page,4991
2021-04-19,Decision São Paulo,Nelson-Page,4990
2021-04-19,Decision São Paulo,Nelson-Page,4989
2021-04-19,Decision São Paulo,Nelson-Page,4988
2021-04-19,Decision São Paulo,Nelson-Page,4987
2021-04-19,Decision São Paulo,Nelson-Page,4986
2021-04-19,Decision São Paulo,Nelson-Page,4985
2021-04-19,Decision São Paulo,"Wade, Bernard and Bailey",4984
2021-04-19,Decision São Paulo,Nelson-Page,4983
2021-04-19,Decision São Paulo,Callahan-Hall,4982
2021-04-19,Decision São Paulo,Callahan-Hall,4981
2021-04-17,Decision São Paulo,Barnes-Woods,4980
2021-04-17,Decision São Paulo,Barnes-Woods,4979
2021-04-17,Decision São Paulo,Barnes-Woods,4978
2021-04-17,Decision São Paulo,Barnes-Woods,4977
2021-04-17,Decision São Paulo,Barnes-Woods,4976
2021-04-17,Decision São Paulo,Barnes-Woods,4975
2021-04-16,Decision São Paulo,Barnes-Woods,4973
2021-04-16,Decision São Paulo,Barnes-Woods,4972
2021-04-16,Decision São Paulo,Barnes-Woods,4971
2021-04-16,Decision São Paulo,Barnes-Woods,4970
2021-04-16,Decision São Paulo,Barnes-Woods,4969
2021-04-16,Decision São Paulo,Barnes-Woods,4968
2021-04-16,Decision São Paulo,Barnes-Woods,4967
2021-04-16,Decision São Paulo,Barnes-Woods,4966
2021-04-16,Decision São Paulo,Barnes-Woods,4965
2021-04-16,Decision São Paulo,Morrison Ltd,4964
2021-04-16,Decision São Paulo,Morrison Ltd,4963
2021-04-16,Decision São Paulo,Morrison Ltd,4962
2021-04-16,Decision São Paulo,Morrison Ltd,4961
2021-04-16,Decision São Paulo,Morrison Ltd,4960
2021-04-16,Decision São Paulo,Nelson-Page,4959
2021-04-16,Decision São Paulo,Morrison Ltd,4958
2021-04-16,Decision São Paulo,"Morris, Moran and Dodson",4957
2021-04-15,Decision São Paulo,Barnes-Woods,4956
2021-04-15,Decision São Paulo,"Morris, Moran and Dodson",4955
2021-04-15,Decision São Paulo,Luna-Carpenter,4954
2021-04-14,Decision São Paulo,Morrison Ltd,4953
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4952
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4950
2021-04-14,Decision São Paulo,"Wade, Bernard and Bailey",4949
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4948
2021-04-14,Decision Campinas,Miller-Curry,4947
2021-04-14,Decision Campinas,Miller-Curry,4946
2021-04-14,Decision Campinas,Miller-Curry,4945
2021-04-14,Decision Campinas,Miller-Curry,4944
2021-04-14,Decision Campinas,Miller-Curry,4943
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4942
2021-04-14,Decision Campinas,Miller-Curry,4941
2021-04-14,Decision Campinas,Miller-Curry,4940
2021-04-14,Decision São Paulo,Morrison Ltd,4939
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4938
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4937
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4936
2021-04-14,Decision São Paulo,"Morris, Moran and Dodson",4935
2021-04-14,Decision São Paulo,Nelson-Page,4933
2021-04-13,Decision São Paulo,Barnes-Woods,4932
2021-04-13,Decision São Paulo,Barnes-Woods,4931
2021-04-13,Decision São Paulo,Barnes-Woods,4930
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4929
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4928
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4926
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4925
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4924
2021-04-13,Decision São Paulo,"Wade, Bernard and Bailey",4923
2021-04-13,Decision São Paulo,Nelson-Page,4922
2021-04-13,Decision São Paulo,Nelson-Page,4921
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4920
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4919
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4918
2021-04-13,Decision São Paulo,"Morris, Moran and Dodson",4917
2021-04-13,Decision São Paulo,Barnes-Woods,4916
2021-04-13,Decision São Paulo,Barnes-Woods,4915
2021-04-13,Decision Campinas,Miller-Curry,4914
2021-04-13,Decision São Paulo,Barnes-Woods,4913
2021-04-13,Decision São Paulo,Barnes-Woods,4912
2021-04-13,Decision São Paulo,Barnes-Woods,4911
2021-04-13,Decision São Paulo,Barnes-Woods,4910
2021-04-13,Decision São Paulo,Barnes-Woods,4909
2021-04-13,Decision São Paulo,Barnes-Woods,4908
2021-04-13,Decision São Paulo,Barnes-Woods,4907
2021-04-13,Decision São Paulo,Nelson-Page,4906
2021-04-13,Decision São Paulo,"Wade, Bernard and Bailey",4905
2021-04-13,Decision São Paulo,"Wade, Bernard and Bailey",4904
2021-04-13,Decision São Paulo,Nelson-Page,4903
2021-04-13,Decision São Paulo,Nelson-Page,4902
2021-04-13,Decision São Paulo,Nelson-Page,4901
2021-04-12,Decision São Paulo,"Morris, Moran and Dodson",4900
2021-04-09,Decision São Paulo,Barnes-Woods,4899
2021-04-09,Decision São Paulo,Barnes-Woods,4898
2021-04-09,Decision São Paulo,Barnes-Woods,4897
2021-04-09,Decision São Paulo,Barnes-Woods,4896
2021-04-09,Decision São Paulo,Barnes-Woods,4895
2021-04-09,Decision São Paulo,Barnes-Woods,4894
2021-04-09,Decision São Paulo,Barnes-Woods,4893
2021-04-08,Decision São Paulo,Barnes-Woods,4892
2021-04-08,Decision São Paulo,Barnes-Woods,4891
2021-04-08,Decision São Paulo,Callahan-Hall,4890
2021-04-08,Decision São Paulo,"Wade, Bernard and Bailey",4889
2021-04-07,Decision São Paulo,"Morris, Moran and Dodson",4888
2021-04-07,Decision São Paulo,Nelson-Page,4887
2021-04-07,Decision Campinas,Miller-Curry,4886
2021-04-07,Decision Campinas,Miller-Curry,4885
2021-04-07,Decision São Paulo,Nelson-Page,4884
2021-04-07,Decision São Paulo,Nelson-Page,4883
2021-04-07,Decision São Paulo,Johnson-Aguirre,4882
2021-04-07,Decision São Paulo,Nelson-Page,4881
2021-04-07,Decision São Paulo,Nelson-Page,4880
2021-04-07,Decision São Paulo,Nelson-Page,4879
2021-04-07,Decision São Paulo,Nelson-Page,4878
2021-04-07,Decision São Paulo,Nelson-Page,4877
2021-04-07,Decision São Paulo,Nelson-Page,4876
2021-04-07,Decision São Paulo,Nelson-Page,4875
2021-04-07,Decision São Paulo,Nelson-Page,4874
2021-04-07,Decision São Paulo,Nelson-Page,4873
2021-04-07,Decision São Paulo,Nelson-Page,4872
2021-04-07,Decision São Paulo,Nelson-Page,4871
2021-04-07,Decision São Paulo,Nelson-Page,4870
2021-04-07,Decision São Paulo,Nelson-Page,4869
2021-04-07,Decision São Paulo,Nelson-Page,4868
2021-04-06,Decision São Paulo,Morrison Ltd,4867
2021-04-06,Decision São Paulo,Morrison Ltd,4866
2021-04-06,Decision São Paulo,"Miller, Tran and Chang",4865
2021-04-06,Decision São Paulo,"Miller, Tran and Chang",4864
2021-04-06,Decision São Paulo,Luna-Carpenter,4863
2021-04-06,Decision Campinas,Miller-Curry,4862
2021-04-06,Decision São Paulo,"Morris, Moran and Dodson",4861
2021-09-15,Decision Campinas,Miller-Curry,6709
2021-09-15,Decision Campinas,Miller-Curry,6708
2021-09-15,Decision Campinas,Miller-Curry,6707
2021-09-15,Decision São Paulo,Morrison Ltd,6705
2021-09-15,Decision São Paulo,Morrison Ltd,6704
2021-09-15,Decision Campinas,Miller-Curry,6703
2021-09-15,Decision São Paulo,Nelson-Page,6702
2021-09-15,Decision São Paulo,Nelson-Page,6701
2021-09-15,Decision São Paulo,Nelson-Page,6700
2021-09-15,Decision São Paulo,Johnson-Pratt,6699
2021-09-15,Decision São Paulo,Nelson-Page,6698
2021-09-15,Decision São Paulo,Johnson-Pratt,6697
2021-09-15,Decision São Paulo,Nelson-Page,6696
2021-09-15,Decision São Paulo,Nelson-Page,6695
2021-09-14,Decision São Paulo,Nelson-Page,6694
2021-09-14,Decision São Paulo,Nelson-Page,6693
2021-09-14,Decision Campinas,Miller-Curry,6692
2021-09-14,Decision São Paulo,Nelson-Page,6691
2021-09-14,Decision Campinas,Miller-Curry,6690
2021-09-14,Decision Campinas,Miller-Curry,6689
2021-09-14,Decision São Paulo,Nelson-Page,6688
2021-09-14,Decision São Paulo,Nelson-Page,6687
2021-09-14,Decision São Paulo,Nelson-Page,6686
2021-09-13,Decision São Paulo,Morrison Ltd,6685
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6684
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6683
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6682
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6681
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6680
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6679
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6678
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6677
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6676
2021-09-13,Decision São Paulo,Morrison Ltd,6675
2021-09-13,Decision São Paulo,"Miller, Tran and Chang",6674
2021-09-13,Decision São Paulo,Barnes-Woods,6673
2021-09-13,Decision Campinas,Miller-Curry,6672
2021-09-13,Decision São Paulo,Barnes-Woods,6671
2021-09-13,Decision São Paulo,Nelson-Page,6670
2021-09-13,Decision São Paulo,"Wade, Bernard and Bailey",6669
2021-09-13,Decision São Paulo,Nelson-Page,6668
2021-09-13,Decision São Paulo,Nelson-Page,6667
2021-09-13,Decision São Paulo,Nelson-Page,6666
2021-09-13,Decision São Paulo,Nelson-Page,6665
2021-09-13,Decision São Paulo,Nelson-Page,6664
2021-09-13,Decision São Paulo,Nelson-Page,6663
2021-09-13,Decision Campinas,Miller-Curry,6662
2021-09-13,Decision Campinas,Miller-Curry,6661
2021-09-11,Decision São Paulo,Nelson-Page,6660
2021-09-11,Decision São Paulo,Nelson-Page,6659
2021-09-11,Decision São Paulo,Nelson-Page,6658
2021-09-11,Decision São Paulo,Nelson-Page,6657
2021-09-10,Decision São Paulo,Barnes-Woods,6656
2021-09-10,Decision São Paulo,Barnes-Woods,6655
2021-09-10,Decision São Paulo,Johnson-Aguirre,6654
2021-09-10,Decision São Paulo,Johnson-Aguirre,6652
2021-09-10,Decision Campinas,Miller-Curry,6651
2021-09-10,Decision Campinas,Miller-Curry,6650
2021-09-10,Decision Campinas,Miller-Curry,6649
2021-09-10,Decision Campinas,Miller-Curry,6648
2021-09-10,Decision São Paulo,Walters Group,6647
2021-09-09,Decision São Paulo,Nelson-Page,6646
2021-09-09,Decision São Paulo,"Morris, Moran and Dodson",6645
2021-09-09,Decision São Paulo,Nelson-Page,6644
2021-09-09,Decision São Paulo,Nelson-Page,6643
2021-09-09,Decision São Paulo,Nelson-Page,6642
2021-09-09,Decision São Paulo,Nelson-Page,6641
2021-09-09,Decision São Paulo,Nelson-Page,6640
2021-09-09,Decision São Paulo,Nelson-Page,6639
2021-09-09,Decision São Paulo,Barnes-Woods,6638
2021-09-09,Decision São Paulo,Morrison Ltd,6637
2021-09-09,Decision São Paulo,Nelson-Page,6635
2021-09-09,Decision São Paulo,Nelson-Page,6634
2021-09-09,Decision São Paulo,Nelson-Page,6633
2021-09-09,Decision São Paulo,Nelson-Page,6632
2021-09-09,Decision São Paulo,Nelson-Page,6631
2021-09-09,Decision Campinas,Miller-Curry,6630
2021-09-09,Decision São Paulo,"Morris, Moran and Dodson",6629
2021-09-09,Decision São Paulo,Barnes-Woods,6628
2021-09-09,Decision São Paulo,Morrison Ltd,6627
2021-09-08,Decision São Paulo,Nelson-Page,6626
2021-09-08,Decision Campinas,Miller-Curry,6625
2021-09-08,Decision Campinas,Miller-Curry,6624
2021-09-08,Decision São Paulo,Nelson-Page,6623
2021-09-08,Decision São Paulo,"Wade, Bernard and Bailey",6622
2021-09-08,Decision São Paulo,Nelson-Page,6621
2021-09-08,Decision São Paulo,Nelson-Page,6620
2021-09-08,Decision São Paulo,Nelson-Page,6619
2021-09-08,Decision São Paulo,Nelson-Page,6618
2021-09-08,Decision São Paulo,Morrison Ltd,6617
